Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,16-MAR,156.800000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
1,GMR-01,462.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
2,GMR-02,462.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
3,GMR-03,462.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
4,GMR-04,462.637500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
5,GMR-05,462.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
6,GMR-06,462.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
7,GMR-07,462.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
8,FRS-08,467.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
9,FRS-09,467.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
10,FRS-10,467.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
11,FRS-11,467.637500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
12,FRS-12,467.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
13,FRS-13,467.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
14,FRS-14,467.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
15,GMR-15,462.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
16,GMR-16,462.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
17,GMR-17,462.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
18,GMR-18,462.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
19,GMR-19,462.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
20,GMR-20,462.675000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
21,GMR-21,462.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
22,GMR-22,462.725000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
23, --A--,467.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,4.0W,,,,,
24, --B--,462.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,4.0W,,,,,
25, --C--,462.612500,,0.000000,TSQL,173.8,173.8,023,NN,023,Tone->Tone,NFM,5.00,S,4.0W,,,,,
26, --D--,467.562500,,0.000000,DTCS,88.5,88.5,271,NN,271,Tone->Tone,NFM,5.00,S,4.0W,,,,,
27, HAM 1,146.415000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,4.0W,,,,,
28, HAM 2,146.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,4.0W,,,,,
29, HAM 3,446.125000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,4.0W,,,,,
30, HAM 4,446.150000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,4.0W,,,,,
31,APRS,144.390000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,,,,,
32,LMR-4WD,158.940000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
33,4X4 SIM,146.460000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
34,UHF SIM,446.000000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
35,VHF SIM,146.520000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
37,MTDOUG,145.290000,-,0.600000,Tone,167.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
38,VE7SLC,444.450000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
39,VE7RYF,146.980000,-,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
40,WARA,146.840000,-,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
