Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,16-MAR,156.800000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
1,GMR-01,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
2,GMR-02,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
3,GMR-03,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
4,GMR-04,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
5,GMR-05,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
6,GMR-06,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
7,GMR-07,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
8,FRS-08,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
9,FRS-09,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
10,FRS-10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
11,FRS-11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
12,FRS-12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
13,FRS-13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
14,FRS-14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
15,GMR-15,462.550000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
16,GMR-16,462.575000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
17,GMR-17,462.600000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
18,GMR-18,462.625000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
19,GMR-19,462.650000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
20,GMR-20,462.675000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
21,GMR-21,462.700000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
22,GMR-22,462.725000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
23, --A--,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
24, --B--,462.625000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
25, --C--,462.612500,,0.000000,TSQL,173.8,173.8,023,NN,NFM,5.00,S,,,,,
26, --D--,467.562500,,0.000000,DTCS,88.5,88.5,271,NN,NFM,5.00,S,,,,,
27, --A-L-,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
28, --B-L-,462.625000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
29, --C-L-,462.612500,,0.000000,TSQL,173.8,173.8,023,NN,NFM,5.00,S,,,,,
30, --D-L-,467.562500,,0.000000,DTCS,88.5,88.5,271,NN,NFM,5.00,S,,,,,
31, HAM 1,146.415000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
32, HAM 2,146.550000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
33, HAM 3,147.450000,,0.000000,TSQL,173.8,173.8,023,NN,NFM,5.00,S,,,,,
34, HAM 4,147.570000,,0.000000,DTCS,88.5,88.5,271,NN,NFM,5.00,S,,,,,
35,WX-1,162.550000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
36,WX-2,162.400000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
