Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip
0,16-Mar,156.8,,0,,88.5,88.5,23,NN,NFM,5,S
1,GMR-01,462.5625,,0,,88.5,88.5,23,NN,NFM,5,
2,GMR-02,462.5875,,0,,88.5,88.5,23,NN,NFM,5,
3,GMR-03,462.6125,,0,,88.5,88.5,23,NN,NFM,5,
4,GMR-04,462.6375,,0,,88.5,88.5,23,NN,NFM,5,
5,GMR-05,462.6625,,0,,88.5,88.5,23,NN,NFM,5,
6,GMR-06,462.6875,,0,,88.5,88.5,23,NN,NFM,5,
7,GMR-07,462.7125,,0,,88.5,88.5,23,NN,NFM,5,
8,FRS-08,467.5625,,0,,88.5,88.5,23,NN,NFM,5,
9,FRS-09,467.5875,,0,,88.5,88.5,23,NN,NFM,5,
10,FRS-10,467.6125,,0,,88.5,88.5,23,NN,NFM,5,
11,FRS-11,467.6375,,0,,88.5,88.5,23,NN,NFM,5,
12,FRS-12,467.6625,,0,,88.5,88.5,23,NN,NFM,5,
13,FRS-13,467.6875,,0,,88.5,88.5,23,NN,NFM,5,
14,FRS-14,467.7125,,0,,88.5,88.5,23,NN,NFM,5,
15,GMR-15,462.55,,0,,88.5,88.5,23,NN,NFM,5,
16,GMR-16,462.575,,0,,88.5,88.5,23,NN,NFM,5,
17,GMR-17,462.6,,0,,88.5,88.5,23,NN,NFM,5,
18,GMR-18,462.625,,0,,88.5,88.5,23,NN,NFM,5,
19,GMR-19,462.65,,0,,88.5,88.5,23,NN,NFM,5,
20,GMR-20,462.675,,0,,88.5,88.5,23,NN,NFM,5,
21,GMR-21,462.7,,0,,88.5,88.5,23,NN,NFM,5,
22,GMR-22,462.725,,0,,88.5,88.5,23,NN,NFM,5,
23,-A-,467.7125,,0,DTCS,88.5,88.5,243,NN,NFM,5,S
24,-B-,462.625,,0,DTCS,88.5,88.5,466,NN,NFM,5,S
25,-C-,462.6125,,0,TSQL,218.1,218.1,23,NN,NFM,5,S
26,WX-1,162.55,,0,,88.5,88.5,23,NN,NFM,5,S
27,WX-2,162.4,,0,,88.5,88.5,23,NN,NFM,5,S
28,WX-3,162.475,,0,,88.5,88.5,23,NN,NFM,5,S
29,WX-4,162.425,,0,,88.5,88.5,23,NN,NFM,5,S
30,WX-5,162.45,,0,,88.5,88.5,23,NN,NFM,5,S
31,WX-6,162.5,,0,,88.5,88.5,23,NN,NFM,5,S
32,WX-7,162.525,,0,,88.5,88.5,23,NN,NFM,5,S
33,WX-8,161.65,,0,,88.5,88.5,23,NN,NFM,5,S
34,WX-9,161.775,,0,,88.5,88.5,23,NN,NFM,5,S
35,WX-10,163.275,,0,,88.5,88.5,23,NN,NFM,5,S
55,RR-01,150.08,,0,,88.5,88.5,23,NN,NFM,5,
56,RR-02,150.11,,0,,88.5,88.5,23,NN,NFM,5,
57,RR-03,150.14,,0,,88.5,88.5,23,NN,NFM,5,
58,RR-04,150.185,,0,,88.5,88.5,23,NN,NFM,5,
59,RR-05,150.2,,0,,88.5,88.5,23,NN,NFM,5,
60,RR-06,150.245,,0,,88.5,88.5,23,NN,NFM,5,
61,RR-07,150.26,,0,,88.5,88.5,23,NN,NFM,5,
62,RR-08,150.365,,0,,88.5,88.5,23,NN,NFM,5,
63,RR-09,150.365,,0,,88.5,88.5,23,NN,NFM,5,
64,RR-10,150.41,,0,,88.5,88.5,23,NN,NFM,5,
65,RR-11,150.44,,0,,88.5,88.5,23,NN,NFM,5,
66,RR-12,150.5,,0,,88.5,88.5,23,NN,NFM,5,
67,RR-13,150.53,,0,,88.5,88.5,23,NN,NFM,5,
68,RR-14,150.545,,0,,88.5,88.5,23,NN,NFM,5,
69,RR-15,150.56,,0,,88.5,88.5,23,NN,NFM,5,
70,RR-16,150.59,,0,,88.5,88.5,23,NN,NFM,5,
71,RR-17,150.68,,0,,88.5,88.5,23,NN,NFM,5,
72,RR-18,150.71,,0,,88.5,88.5,23,NN,NFM,5,
73,RR-19,150.77,,0,,88.5,88.5,23,NN,NFM,5,
74,RR-20,150.83,,0,,88.5,88.5,23,NN,NFM,5,
75,RR-21,151.01,,0,,88.5,88.5,23,NN,NFM,5,
76,RR-22,151.13,,0,,88.5,88.5,23,NN,NFM,5,
77,RR-23,151.19,,0,,88.5,88.5,23,NN,NFM,5,
78,RR-24,151.22,,0,,88.5,88.5,23,NN,NFM,5,
79,RR-25,151.31,,0,,88.5,88.5,23,NN,NFM,5,
80,RR-26,151.34,,0,,88.5,88.5,23,NN,NFM,5,
81,RR-27,151.37,,0,,88.5,88.5,23,NN,NFM,5,
82,RR-28,151.43,,0,,88.5,88.5,23,NN,NFM,5,
83,RR-29,151.46,,0,,88.5,88.5,23,NN,NFM,5,
84,RR-30,151.49,,0,,88.5,88.5,23,NN,NFM,5,
85,RR-31,151.52,,0,,88.5,88.5,23,NN,NFM,5,
86,RR-32,151.58,,0,,88.5,88.5,23,NN,NFM,5,
87,RR-33,151.61,,0,,88.5,88.5,23,NN,NFM,5,
88,RR-34,151.64,,0,,88.5,88.5,23,NN,NFM,5,
89,RR-35,151.67,,0,,88.5,88.5,23,NN,NFM,5,
90,LD-1,151.7,,0,,88.5,88.5,23,NN,NFM,5,
91,LD-2,151.745,,0,,88.5,88.5,23,NN,NFM,5,
92,LD-3,151.79,,0,,88.5,88.5,23,NN,NFM,5,
93,LD-4,151.805,,0,,88.5,88.5,23,NN,NFM,5,
94,LD-5,151.85,,0,,88.5,88.5,23,NN,NFM,5,
95,WFP,170.415,,0,,88.5,88.5,23,NN,NFM,5,
96,HAUL-R,153.11,,0,Tone,203.5,88.5,23,NN,NFM,5,
97,BLUE,164.085,-,0.87,,88.5,88.5,23,NN,NFM,5,
98,SPACE-R,145.8,split,437.8,,88.5,88.5,23,NN,NFM,5,
99,SPACE,145.8,,0,,88.5,88.5,23,NN,NFM,5,
100,PEP-1,149.495,,0,,88.5,88.5,23,NN,NFM,5,
101,PEP-2,149.525,,0,,88.5,88.5,23,NN,NFM,5,
102,UHF-PEP,462.95,,0,Tone,114.8,88.5,23,NN,NFM,5,
105,YELLOW,164.205,-,0.87,,88.5,88.5,23,NN,NFM,5,
106,BLUE,164.085,-,0.87,,88.5,88.5,23,NN,NFM,5,
107,SPACE-R,145.8,split,437.8,,88.5,88.5,23,NN,NFM,5,
108,SPACE,145.8,,0,,88.5,88.5,23,NN,FM,5,
